PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5A7y5,r1bqkb1r/ppp3pp/2n2n2/3N4/2B2Q2/8/PPPP2PP/R1B2RK1 b kq - 0 9,f6d5 f4f7,1554,92,82,186,mate mateIn1 oneMove opening,https://lichess.org/K6caVHBj/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Gianutio_Countergambit
5BTyT,rn1qkb1r/ppp2pp1/7p/3pN2n/3PPp1P/5N2/PPP3P1/R1BQK2R b KQkq - 1 10,d5e4 e5f7 e8f7 f3e5 f7g8 d1h5,1770,74,86,352,advantage attackingF2F7 attraction discoveredAttack long opening sacrifice,https://lichess.org/EILK9amj/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5BnKi,rnbq2kr/ppp1n1pp/1b1p4/7Q/3PPR2/8/PPP3PP/RNB3K1 b - - 2 11,e7g6 h5d5 c8e6 d5e6,982,88,88,1035,kingsideAttack mate mateIn2 opening short,https://lichess.org/xY2vXfI9/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
5BrZf,rnb1k2r/ppp1bB1p/7n/4N1pQ/3q1p2/2N5/PPP3PP/R1B2K1R b kq - 0 11,h6f7 h5f7 e8d8 f7g7 h8f8 e5f7,2335,86,87,420,attackingF2F7 crushing long opening,https://lichess.org/QlwChl6l/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
5DtLz,r1b1k1nr/2pp1pb1/p1n5/1p4qp/3PPR2/1BP5/PP4PP/RNBQ2K1 b kq - 0 10,g5g6 b3f7 g6f7 f4f7,946,78,89,257,advantage attackingF2F7 fork opening short,https://lichess.org/B5Roc4Ne/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
5F6na,rnbqk1nr/ppp2p2/3p3b/6pp/2BPPp1P/5N2/PPP3P1/RNBQ1RK1 b kq - 0 7,g5g4 f3g5 h6g5 h4g5,1805,75,87,180,advantage opening short,https://lichess.org/mJbG1HLd/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
5FBN4,r1bq2nr/pppk4/3pB2p/3Nn3/3bP3/5QP1/PPP4P/R1B2R1K b - - 4 15,d7e6 f3f5,1727,78,80,1176,mate mateIn1 oneMove opening,https://lichess.org/GHtKFNL7/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Rosentreter_Gambit
5FTOt,r2q1rk1/ppp2ppp/2n2n2/8/6b1/2NPpN2/PPP1B1PP/2R1QR1K b - - 3 13,c6d4 f3d4 d8d4 e1h4 h7h5 h2h3,2222,85,73,48,advantage long opening,https://lichess.org/mi6H09Im/black#26,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5FvTk,r2qk1nr/pppbnp2/7p/4P1p1/2B2p2/8/PPP3PP/RNBQR1K1 b kq - 0 11,e7c6 d1h5 d8e7 e5e6,2301,79,86,179,advantage opening short,https://lichess.org/NmkXhSfK/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5G5Iv,rnbqkbnr/ppp4p/3p4/4N2Q/4Pp2/8/PPPP2PP/RNB1K2R b KQ - 3 9,e8e7 h5f7,1050,80,88,596,mate mateIn1 oneMove opening,https://lichess.org/jGhyTu2r/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Lolli_Gambit
5I6PC,rn3b1r/p2knp2/2p5/2N4p/2N2p1q/3P3p/PPP3P1/R1BQR1K1 b - - 1 16,d7c7 d1d2 e7d5 d2a5 d5b6 e1e4,2797,128,89,965,crushing long opening,https://lichess.org/YWTHbLwG/black#32,Kings_Gambit_Declined Kings_Gambit_Declined_Norwalde_Variation
5IF3M,r1b1k1nr/ppp2ppp/2n5/1Bb5/3NpP1q/2P3P1/PP5P/RNBQK2R b KQkq - 0 8,h4h3 d4c6 b7c6 b5c6 e8e7 d1d5,2627,106,85,896,advantage fork long opening,https://lichess.org/48DGgq2X/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation
5M1MX,rn1qkb1r/pp4pp/4pn2/2p5/3pPB2/3P1N2/PPP3PP/RN1QK2R b KQkq - 0 9,f8d6 f4d6 d8d6 e4e5 d6e7 e5f6,2202,79,87,280,crushing fork long opening,https://lichess.org/ICxfUofe/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
5My8Z,r1bq1b1r/ppp2kpp/2np4/4P1N1/3P4/4p3/PPP3PP/RN1Q1RK1 b - - 1 10,f7g8 d1f3 d8e7 f3d5 c8e6 g5e6,2359,89,90,1132,crushing long opening,https://lichess.org/VD4jCmas/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5Octv,r3kbnr/pppq1p1p/2b5/3pP1B1/3P4/5Q2/PPP3PP/RN3RK1 b kq - 3 11,f8h6 g5h6 g8h6 f3f6 h8g8 f6h6,1956,76,89,652,advantage fork long opening,https://lichess.org/kBG8exDc/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense
5QIbl,rnb1r1k1/ppp1qppp/3p4/3N4/5P2/4bNP1/PPP5/R2QKB1R b KQ - 3 13,e7e4 f1d3 e3d2 e1d2 e4d5 h1h7,2466,84,84,104,advantage long opening,https://lichess.org/XUx3zdbs/black#26,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation
5QoOu,rnb3kr/ppp1b1pp/4q3/6N1/8/2N2Q2/PPPP3p/R1B2R1K b - - 6 15,e7g5 f3f8,672,96,87,79,mate mateIn1 oneMove opening,https://lichess.org/6nCFv6Qh/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
5RKDC,r1b2rk1/pp3ppp/2P2n2/2b2q2/5p2/2N2N2/PPP3PP/R1BQR2K b - - 2 13,b7c6 e1e5 f6g4 e5f5,1668,76,91,620,advantage opening short,https://lichess.org/vZxFUESO/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Abbazia_Defense
5S8gW,r1bqk2r/ppp1nppp/2n5/1Bb5/3NpP2/2P1B3/PP4PP/RN1QK2R b KQkq - 4 8,e8g8 d4c6 d8d1 e1d1 b7c6 e3c5,1697,75,58,148,advantage long opening,https://lichess.org/GVqi41Uu/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
5SNwq,rnb1k2r/ppp1qppp/8/4N3/1bPP4/2N1p3/PP2Q1PP/R3KB1R b KQkq - 5 10,f7f6 e2h5 g7g6 e5g6 h7g6 h5h8,1425,77,66,153,advantage long opening,https://lichess.org/DJzNiQCZ/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Abbazia_Defense
5SVFG,r3kb1r/pppnqppp/5n2/8/3P1B2/2P5/PP3KPP/RN1Q3R b kq - 1 11,e7e4 h1e1 e8c8 e1e4,1289,80,87,1136,advantage opening pin short,https://lichess.org/mojgbQat/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
5Sb8Z,r1b1k1nr/pppp1ppp/3b1q2/8/3PP3/4Q3/PPP3PP/RNB1KB1R b KQkq - 2 7,d6f4 e3f4 f6f4 c1f4,1229,78,74,327,crushing opening short,https://lichess.org/PxmCVvRK/black#14,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5TPA7,2kr1bnr/pppq2pp/2np4/4pP2/2B1P1b1/2P2N2/PP4PP/RNBQ1RK1 b - - 0 9,g8f6 c4e6 d7e6 f5e6,1019,89,90,2702,crushing opening pin short,https://lichess.org/XBlS7bEy/black#18,Kings_Gambit Kings_Gambit_Other_variations
5TX3D,r1bqr1Qk/pppp2pp/1b6/6N1/2Bn4/8/PPP3PP/RNB2RK1 b - - 1 12,e8g8 g5f7,765,90,79,249,mate mateIn1 oneMove opening smotheredMate,https://lichess.org/cS6PuoE9/black#24,Kings_Gambit_Declined Kings_Gambit_Declined_Petrovs_Defense
5V2G2,rnbq3r/pppp1kpp/8/2b1N3/4PB2/3P4/PPP2nPP/RN1QK2R b KQ - 1 8,f7f8 d1h5 d8e8 e5g6,2436,83,81,262,advantage opening short,https://lichess.org/nXKbFOP5/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
5VHy4,rnb1kb1r/ppp2Bpp/8/4N2n/3P3q/6p1/PPP4P/RNBQK2R b KQkq - 0 9,e8e7 d1h5 h4e4 e1d2 e4d4 d2e2,2797,118,90,1922,advantage defensiveMove long opening,https://lichess.org/OWsGbUZw/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5Wod2,r1bq1rk1/ppppnpb1/2n4p/6B1/3PP3/1BP2Np1/PP5P/RN1Q1RK1 b - - 0 10,h6g5 f3g5 e7g6 d1h5 d8g5 h5g5,1585,78,92,1506,crushing long master opening,https://lichess.org/Dhw87xFY/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Hanstein_Gambit
5Wr8l,rnb1kb1r/ppp2ppp/8/4N2n/3P1p1q/6P1/PPP1Q2P/RNB1KB1R b KQkq - 0 8,f4g3 e5g6 f8e7 g6h4,1786,79,93,848,advantage discoveredAttack discoveredCheck opening pin short,https://lichess.org/kwNJ1v79/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5X3w1,r1bqkbnr/pp1p3p/5pp1/2pQ4/2BpPP2/8/PPP3PP/RNB1K2R b KQkq - 1 8,g8e7 d5f7,682,117,96,555,mate mateIn1 oneMove opening,https://lichess.org/LgmfwAAb/black#16,Kings_Gambit Kings_Gambit_Other_variations
5XzMe,r2q1b1r/p1p1k1p1/1p1p1nnp/8/3PP3/1Q6/PPP3PP/RNB2RK1 b - - 2 14,f6e4 b3f7,1125,82,100,135,mate mateIn1 oneMove opening,https://lichess.org/eV0MkBWz/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
5ZVTu,rnb2bnr/pp4k1/2pq3p/4N1pQ/3P1p2/8/PPP3PP/RNB2RK1 b - - 3 11,c8f5 h5f7,1159,88,92,85,mate mateIn1 oneMove opening,https://lichess.org/qWNqvb1F/black#22,Kings_Gambit Kings_Gambit_Other_variations
5biV3,rnb1k1nr/pppp1Bpp/3b4/8/3Pq3/5N2/PPP3PP/RNBQ1K1R b kq - 0 7,e8f7 f3g5 f7e8 g5e4,810,90,81,322,crushing fork opening short,https://lichess.org/wL8XiPrL/black#14,Kings_Gambit Kings_Gambit_Other_variations
5caJQ,rnbqkbnr/pppp3p/5pp1/3Q4/2B1Pp2/8/PPPP2PP/RNB1K1NR b KQkq - 1 5,g8e7 d5f7,732,99,97,606,mate mateIn1 oneMove opening,https://lichess.org/uejboOPv/black#10,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
5cqhn,rnbq2nr/pppp1Qp1/3k1p1p/4b3/2B1Pp2/1P6/P1PP2PP/RNB2RK1 b - - 0 9,d8e7 f7d5,1031,76,97,186,mate mateIn1 oneMove opening,https://lichess.org/Eb9z6F0Z/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
5dUxS,r1b2b1r/ppp1kp2/2np1q2/4pn2/8/2NB1Q1P/PPPPN3/R1B1KR2 b Q - 3 12,c6d4 c3d5 e7d8 d5f6 d4f3 f1f3,1975,84,89,896,advantage fork long opening,https://lichess.org/d6NIkNB6/black#24,Kings_Gambit Kings_Gambit_Other_variations
5e91p,rn1qkbnr/ppp2p1p/3p4/6p1/2B1Ppb1/3P1N2/PPP3PP/RNBQ1RK1 b kq - 0 6,g8e7 c4f7 e8f7 f3g5 f7g8 d1g4,1576,74,88,598,advantage attackingF2F7 attraction discoveredAttack long opening,https://lichess.org/JDBRAcSc/black#12,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
5emM0,r1bq1bkr/ppp3pp/6n1/7Q/3PR3/8/PPP3PP/RNB3K1 b - - 2 12,c8d7 h5d5 d7e6 d5e6,950,80,88,71,kingsideAttack mate mateIn2 opening short,https://lichess.org/crvQ18Mj/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5fmgA,r1bq2nr/pppp2b1/2n3kp/6N1/3PP1Q1/8/PPP3Kp/RNB2R2 b - - 1 11,d7d5 g5e6 d8g5 c1g5,1847,74,96,1032,crushing discoveredAttack discoveredCheck opening short,https://lichess.org/YoWZUOZG/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
5fxEE,rnbq2kr/ppp3pp/8/3pN1b1/3P2R1/2P5/PP4PP/RNB2QK1 b - - 3 14,g5c1 f1f7,881,92,97,3585,mate mateIn1 oneMove opening,https://lichess.org/Bjtud69j/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5gYt8,rnbqkbnr/ppp3p1/3p3p/4p2Q/2B1Pp1P/8/PPPP2P1/RNB1K2R b KQkq - 1 7,e8e7 h5f7,880,90,90,47,mate mateIn1 oneMove opening,https://lichess.org/q3YykZKP/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
5i0IL,r1b1kbr1/ppp2p1p/2n2q1n/8/2BPP1p1/2N3B1/PPP3PP/R2Q2KR b q - 6 12,c6d4 c3d5 d4e2 d1e2,1729,83,52,63,advantage opening short,https://lichess.org/Hv8ahsiY/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Salvio_Gambit
5iDi0,r1b1k1nr/ppp2p1p/3p1qnb/8/3PPNpP/2P2pP1/PP5Q/RNB1KB1R b KQkq - 2 12,g8e7 f4h5 f6e6 c1h6,1982,74,95,14082,advantage discoveredAttack opening short,https://lichess.org/UwIADgpp/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5iXdA,r2qr1k1/pppn2pp/5n2/2b1p3/2N1Pp2/1P3N2/PBP3PP/R2Q1R1K b - - 8 13,f6e4 d1d5 g8h8 d5e4,1470,75,88,681,advantage fork opening short,https://lichess.org/ef4eh5tb/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5ix5w,rn2k1nr/pp3pp1/2p5/4P2B/1b5q/6N1/PPPP2PP/R1BQK2R b KQkq - 0 10,h8h5 d1h5 h4h5 g3h5,722,117,68,47,crushing opening short,https://lichess.org/vd5KNt7Q/black#20,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
5kc2H,r1bq1rk1/ppp2pb1/5n1p/4B1p1/3P4/2PB4/PP4PP/RN1Q1RK1 b - - 0 12,c8g4 e5f6 g4d1 f6d8 a8d8 f1d1,1445,89,87,42,crushing long opening,https://lichess.org/OqapWp1X/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
5krJI,r1bk1bnr/ppp1q3/2np2Bp/8/3PP3/5QP1/PPP4P/RNB2RK1 b - - 2 12,c6d4 f3f8 e7f8 f1f8,946,85,82,291,advantage opening short,https://lichess.org/47yEtsoH/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
5lUMn,k2r1b1r/p1p1qppp/Q1Pp4/8/2B2pb1/2n5/P2N2PP/1RB2K1R b - - 2 16,g4e2 c4e2 e7e2 a6e2,1527,76,94,932,advantage opening short,https://lichess.org/C92CXDna/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
5o7Yu,r2qkbnr/ppp2pp1/2np3p/4N3/2BPPpb1/2N5/PPP3PP/R1BQK2R b KQkq - 2 7,g4d1 c4f7 e8e7 c3d5,1356,78,92,1619,attackingF2F7 mate mateIn2 opening short,https://lichess.org/aEWSmHtB/black#14,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5oHEb,r1b1k1nr/pppp2pp/8/4P3/3bqB2/6K1/PPP3PP/RN1Q1B1R b kq - 0 10,d4e5 d1h5 e8d8 h5e5 e4e5 f4e5,1500,76,91,1139,advantage long opening,https://lichess.org/fTOAXael/black#20,Kings_Gambit_Declined Kings_Gambit_Declined_Miles_Defense
5oMV1,rn2kbnr/ppp2ppp/8/4p3/5qb1/5N2/PPPPBKPP/RNBQ1R2 b kq - 1 8,f8c5 d2d4 c5d4 d1d4 f4d4 f3d4 g4e2 d4e2,2121,77,92,2111,advantage opening veryLong,https://lichess.org/btMiVxsQ/black#16,Kings_Gambit Kings_Gambit_Other_variations
5psKP,rnb2bnr/pp3kpp/2p2p2/4p1B1/1q6/2N2N2/PPP3PP/R2Q1RK1 b - - 1 14,b4b2 f3e5 f7e8 d1h5 g7g6 e5g6,1672,76,94,3274,advantage long opening pin,https://lichess.org/Th5usCbr/black#28,Kings_Gambit_Declined Kings_Gambit_Declined_Norwalde_Variation
5qVGM,rn1qkbnr/ppp2p2/3p3p/4N1p1/2BPPpb1/2N5/PPP3PP/R1BQK2R b KQkq - 3 7,g4d1 c4f7 e8e7 c3d5,1553,79,94,17030,attackingF2F7 mate mateIn2 opening short,https://lichess.org/7MWm43fa/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
5qop2,rnbqkRnr/6p1/7p/p2QN3/Pp2P3/8/1P1P2PP/RNB3K1 b - - 0 17,e8f8 d5d8,843,82,90,343,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/KgrA8Bou/black#34,Kings_Gambit Kings_Gambit_Other_variations
5rhRD,r1bq3r/pppnb1kp/5n1B/3B1Q2/3PP2P/8/PPP3P1/RN2K1NR b KQ - 4 14,g7h6 f5g5,1187,189,25,20,mate mateIn1 oneMove opening,https://lichess.org/JgfC3rGf/black#28,Kings_Gambit Kings_Gambit_Other_variations
5syvK,r2qk1nr/1pp2pb1/p1n4p/4P1p1/2B2pbP/2N2N2/PPP3P1/R1BQR1K1 b kq - 0 11,c6d4 d1d4 d8d4 f3d4,1572,77,93,8423,advantage opening short,https://lichess.org/VpgsChM0/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
5tdZK,r1bq2kr/ppp1b1pp/2n5/4N3/4n3/1QP5/PP1P2PP/RNB2RK1 b - - 2 10,c8e6 b3e6,1184,105,57,34,hangingPiece kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/xcfWYQ0f/black#20,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5tmXv,rn1qk1nr/ppp2pb1/3p4/6p1/2BPPp2/2N2P2/PPP2K2/R1BQ3R b kq - 0 10,g7d4 d1d4 h8h1 d4g7,1946,75,41,79,advantage opening sacrifice short,https://lichess.org/D8VVRCmR/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Greco_Gambit
5u97V,rnbq1bkr/pppp2pp/8/4N2Q/4Pp2/8/PPPP2PP/RNB1K2R b KQ - 0 7,d7d6 h5f7,856,96,95,156,mate mateIn1 oneMove opening,https://lichess.org/JYoZeAkM/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5v22t,rnbq1rk1/pp1p1pb1/2p3Qn/4P1N1/2BP4/8/PPP3PP/R1B2K1R b - - 0 14,d7d5 g6h7,803,82,99,652,mate mateIn1 oneMove opening,https://lichess.org/UYGsEsRH/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
5vCL6,r1b1Qbkr/ppp3pp/1n6/3q4/2Q5/8/PPP3PP/RNB2RK1 b - - 2 15,d5c4 e8f8,978,105,92,976,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/NqWMDXHK/black#30,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5vKOM,r1b2bk1/ppp3pr/2n3Np/8/3Qn3/8/PPP3PP/RNB2RK1 b - - 0 12,c6d4 f1f8,695,83,96,153,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/kEeZyPtm/black#24,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
5vw4S,rn3bnr/ppp1k3/3p1q1p/8/4P1QP/8/PPPP2P1/RNB1KR2 b Q - 3 12,f6e6 g4e6 e7e6 f1f8,1251,80,93,1568,advantage opening short,https://lichess.org/TpZXvfWm/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kieseritzky_Gambit
5yLw8,rnb1k2r/ppppqppp/8/4N3/1b1PnB2/2N5/PPP1Q1PP/R3KB1R b KQkq - 3 8,e8g8 e2e4 b4c3 b2c3,1135,81,80,100,advantage hangingPiece opening short,https://lichess.org/wTdiMQFI/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
5yybt,r1bqk1nr/pppp1pbp/2n5/6p1/2BPPp2/5N2/PPP3PP/RNBQ1RK1 b kq - 0 6,g8e7 f3g5 g7d4 g1h1,1981,75,89,94,advantage defensiveMove opening short,https://lichess.org/5tFx7A3p/black#12,Kings_Gambit_Accepted Kings_Gambit_Accepted_Blachly_Gambit
5zBpu,rn2kbnr/pp1b1q1p/2pp4/4B3/3PP3/8/PPP3PP/RN1Q1RK1 b kq - 1 10,f7f1 g1f1 d6e5 d1h5 e8d8 h5e5,2038,75,82,132,advantage exposedKing long opening,https://lichess.org/uMJ5tSGa/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
5zEd3,r2qkbnr/pppn3p/3p1p2/6N1/2BPPpb1/2N5/PPP3PP/R1BQ1RK1 b kq - 0 8,g4d1 c4f7 e8e7 c3d5,1361,76,96,27335,mate mateIn2 opening short,https://lichess.org/H559LvXC/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
60bZx,r1bq3r/pppp2kp/2n3p1/3Q4/3b2N1/8/PPP5/RNB2R1K b - - 1 15,h8f8 c1h6 g7h8 f1f8 d8f8 h6f8,1640,76,90,1830,advantage deflection fork long opening,https://lichess.org/1ZxaasGW/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
62k8c,r2q1bkr/ppp3pp/5n2/4Q3/3nP3/3P4/PPP3PP/RNB2RK1 b - - 0 12,d4c2 e5e6,852,84,87,159,mate mateIn1 oneMove opening,https://lichess.org/LMpUMvDu/black#24,Kings_Gambit Kings_Gambit_Other_variations
62tFZ,r2qkb1r/ppp1np2/2np3p/1B1N2p1/3PPpb1/5N2/PPP1Q1PP/R1B1K2R b KQkq - 5 9,a7a6 d5f6,1195,78,98,450,mate mateIn1 oneMove opening,https://lichess.org/w1vU4wvA/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Becker_Defense
63Mmo,rn1q1knr/pp3ppp/3B4/8/2BP2b1/6P1/PPP4P/RN2QRK1 b - - 0 13,d8d6 f1f7,1062,91,50,80,mate mateIn1 oneMove opening operaMate,https://lichess.org/ZpWrwBiJ/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
63bNK,r2qk2r/ppp2ppp/3p2N1/b3n3/2B1P1b1/P2P1N2/1PP3PP/R1BQ1RK1 b kq - 0 11,h7g6 f3e5 a5b6 d3d4,2157,124,70,17,advantage defensiveMove opening short,https://lichess.org/kweqOhmg/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bonsch-Osmolovsky_Variation
63ih8,rnbq1bnr/pppp3p/2k5/3QP3/2B2p1P/8/PPPP2P1/RNB1K2R b KQ - 2 13,c6b6 d5b5,809,115,83,22,mate mateIn1 oneMove opening,https://lichess.org/941FX6mq/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Allgaier_Gambit
64TCP,r1b1k1r1/ppppnp1p/5b2/8/3PQ3/2N3P1/PPP1N2q/R1B1KB2 b Qq - 6 12,d7d6 c3d5 g8g6 d5c7 e8d8 c7a8,1666,76,86,240,advantage fork long opening,https://lichess.org/fzwteUpj/black#24,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
64eUh,rnb1kb1r/ppp2p1p/3p3n/3Bq1pQ/5p2/4NN2/PPPP2PP/R1B1K2R b KQkq - 5 9,c8g4 h5g4 h6g4 f3e5 g4e5 d5b7,2258,92,73,38,advantage long opening,https://lichess.org/xfgWCy4i/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
64rhI,rnbq2nr/ppp1k1pp/3p4/6NQ/4P2b/8/PPPP3p/RNB2R1K b - - 3 10,g8f6 h5f7,779,95,93,222,mate mateIn1 oneMove opening,https://lichess.org/Wnzgpg4q/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
66ShI,r2qk2r/ppp2ppp/2np1n2/8/1b1PPBb1/2N2N2/PPP1Q1PP/2KR1B1R b kq - 2 8,c6d4 d1d4 b4c3 b2c3,1728,80,86,85,advantage hangingPiece opening short,https://lichess.org/49hMdxn4/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Polerio_Gambit
67Dvf,r2q1rk1/pppnbppp/2n5/3pP1N1/3P1BbP/2PQ4/PP1N2P1/R3KB1R b KQ - 2 11,f7f6 d3h7,933,94,96,233,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/hWdZEddV/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
68kPr,rnbq1bnr/ppppk2p/8/7Q/2B1Pp1P/8/PPPP2P1/RNB1K2R b KQ - 4 9,g8f6 h5e5,1876,84,78,224,mate mateIn1 oneMove opening,https://lichess.org/RUIWwzQ5/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
698Vj,r2q1bkr/ppp3pp/2n5/4p3/5Bb1/1QPP1N2/PP4PP/RN3RK1 b - - 2 11,g4e6 b3e6,738,84,83,87,hangingPiece kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/C3TMcl3A/black#22,Kings_Gambit Kings_Gambit_Other_variations
69MU0,r2q1b1r/ppp2kpp/2npbn2/6N1/4Pp2/1QP5/PP1P2PP/RNB2RK1 b - - 3 9,f7e7 b3e6,601,84,79,90,mate mateIn1 oneMove opening,https://lichess.org/Olk5cpUs/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
6A0bf,rn3rk1/ppp2ppp/4b3/4q1bQ/4Np2/3B4/PPP3PP/R1B2R1K b - - 1 14,g7g6 h5g5 e5g5 e4g5,1650,75,93,3848,crushing opening short,https://lichess.org/3kW0tLq8/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
6A1m8,rnbqk2r/ppp2ppp/3b4/3n4/2B2p2/2P2N2/PP1P2PP/RNBQ1RK1 b kq - 0 7,e8g8 c4d5 d6c5 d2d4,1224,77,94,13145,advantage hangingPiece opening short,https://lichess.org/4OViZbeA/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
6AmbD,rn2k2r/ppp2ppp/5n2/4p3/1bP4q/P1NP1P2/1P1KB2P/R1BQ3R b kq - 0 11,h4f4 d2c2 f4f5 a3b4,1252,78,88,1168,advantage opening short,https://lichess.org/GFc6cFK4/black#22,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit_Accepted
6BQFc,r2qkb1r/1pp1n1pp/p7/4Np2/2BP2b1/8/PPP3PP/RN1Q1RK1 b kq - 0 11,g4d1 c4f7,1101,76,98,2469,mate mateIn1 oneMove opening,https://lichess.org/Qy6t6SJW/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
6ChAH,rn2kb1r/ppp1qppp/8/3nP3/5p2/2N2P1B/PPP1Q2P/R1B1K2R b KQkq - 2 10,b8c6 c3d5 e7h4 e2f2 h4h3 d5c7 e8d8 c7a8,1636,77,94,9647,crushing fork hangingPiece opening veryLong,https://lichess.org/YNXtXX3m/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
