PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BSBk,r2qkbnr/pppb1ppp/8/4p2Q/2B1Pp2/3P4/PPP3PP/RNB2RK1 b kq - 3 8,f8d6 h5f7,644,97,94,619,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/3ZEZsZnR/black#16,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
0C9IY,r2qk1nr/ppp2pbp/2nBB3/8/3PP3/5Q2/PPP3PP/RN3RK1 b kq - 0 10,f7e6 f3f7,1605,78,77,163,mate mateIn1 oneMove opening,https://lichess.org/XfvQjM3k/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
0CMpW,rn1qk1nr/pppb1pb1/7p/3PB3/2B5/2P2Q2/PP4PP/RN3RK1 b kq - 0 12,g7e5 f3f7,1111,119,52,40,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/6szs7AKo/black#24,Kings_Gambit_Accepted Kings_Gambit_Accepted_Hanstein_Gambit
0DI2l,r2qk1nr/ppp2pb1/3p3p/6pQ/2BnPN2/8/PPP3PP/R1B2RK1 b kq - 0 11,g8f6 h5f7,975,168,41,14,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/nnBrTvKa/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
0EZ8E,r2qkbnr/ppp2pp1/2np3p/4N3/2B1PPb1/2N5/PP4PP/R1BQK2R b KQkq - 1 8,g4d1 c4f7 e8e7 c3d5,1470,75,85,241,attackingF2F7 mate mateIn2 opening short,https://lichess.org/BJKR4mlr/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
0HT9n,rnb1kbnr/pppp1p1p/8/4N3/3Pq3/4B3/PPP2Q1P/RN2KB2 b Qkq - 1 10,d7d6 f2f7 e8d8 f7f8,1114,75,100,386,attackingF2F7 deflection mate mateIn2 opening short,https://lichess.org/SAtXbAdR/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Rosentreter_Gambit
0IJWZ,r1bq1rk1/pppp1ppp/2n5/3nP1N1/1b1P1B2/2NQ4/PPP3PP/R3KB1R b KQ - 2 9,d5f4 d3h7,788,84,100,78,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/yDIQZ6Ir/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
0Ivgs,r2q2nr/ppp1b1k1/4b2p/3pP3/3n1BpP/3B2P1/PPP3K1/RN1Q1R2 b - - 3 13,d4f5 d1g4 e7g5 d3f5 e6f5 g4f5,2025,74,94,2996,advantage long master opening,https://lichess.org/2PAzDY58/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
0J1XU,rnb1k2r/ppp1bp1p/2q3p1/4P2n/1PB2p2/N1P5/P2N2PP/R1BQ1K1R b kq - 2 14,c8e6 c4b5 e8g8 b5c6,1397,78,86,159,advantage opening pin short,https://lichess.org/IXGTQjp2/black#28,Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
0Jj5q,rn1qk2r/ppp1nBb1/3p4/6p1/3PPpb1/2P2N2/PP4P1/RNBQ1RK1 b kq - 0 10,e8f7 f3g5 f7g8 d1g4,1174,77,89,583,crushing discoveredAttack opening short,https://lichess.org/9U4R6Ivm/black#20,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
